ResponseID,TraitGroup,GenderRating,Angry,Warmth,Approachable,Intelligent,Attractive,Friendly,Competent,Happy,Categorization,Gender
R_1jxg7jsrvigffbU,0,3,4,4,4,4,4,4,4,4,2,1
R_1oI9CpiyqVr0Far,0,4,3,3,4,4,4,4,5,3,2,1
R_1SpOIf6AFOwFNjX,0,5,2,3,5,6,4,4,5,5,2,1
R_3HFCGMmD3D5yaIt,0,4,3,5,6,6,6,5,6,5,2,1
R_10DxOWplr3CL7O9,0,6,1,4,4,4,3,4,4,3,2,2
R_3OjEx9aCuuzKQiz,0,3,1,4,4,6,5,4,6,4,2,2
R_2scLs8FnLPv5fdw,0,4,1,6,6,6,6,6,6,7,2,1
R_Z9RxRU1735FQtON,0,3,1,6,6,6,7,6,7,5,2,2
R_27xSRw4OOIBB6Rs,0,4,3,4,5,4,4,4,5,5,2,1
R_1pJS6nxVtoGgTg2,0,4,4,3,3,3,4,3,4,3,2,1
R_1f2Zp6B7CvQfkzl,0,4,1,4,4,4,4,4,4,4,1,2
R_9RoyxHxJ9iwG9Nv,0,4,2,5,5,6,5,5,6,5,2,2
R_2rHMLVaT8JL1Kvf,0,4,3,4,4,4,3,4,4,4,2,2
R_32Vi8DCO8ELUW2q,0,4,2,2,2,3,3,2,3,3,2,1
R_1PXDAqWcSftyQPZ,0,5,6,4,6,4,3,4,5,6,2,1
R_10GdpAYP5ieCtP3,0,3,1,7,7,4,4,6,7,5,2,2
R_1g289k18mBoortg,0,4,1,4,4,4,4,4,4,4,2,1
R_RwaBZ6Zx9WiVp4t,0,4,2,2,4,5,4,4,5,3,2,2
R_u9Au1JZhymsHaXT,0,4,1,5,4,5,5,6,5,5,2,1
R_2QJOieWgr9n1npQ,0,5,2,2,3,5,3,3,5,3,2,1
R_2P5chxqft1PXzBj,0,6,1,3,3,4,5,3,3,4,1,2
R_Dw0huZX6avwlqc9,0,4,5,3,4,5,6,3,4,3,2,2
R_2Sv2kkrkXadqUhn,0,1,3,5,5,4,4,5,5,5,2,1
R_1CwPhcJ89cykGqn,0,5,4,4,5,3,5,5,5,4,1,1
R_3KQ4ZASArD7LRUE,0,1,1,4,4,4,4,4,4,4,2,2
R_291cz6zYfbQ16Vn,0,3,1,2,2,6,4,2,6,2,2,2
R_2SvKcmej9z69lEy,0,5,3,6,5,4,5,4,5,4,2,1
R_2SAYbxYlc39Usua,0,3,2,6,5,6,6,6,7,4,2,2
R_1I6osfoS7iDV9g6,0,1,1,4,6,3,4,5,4,4,2,1
R_1FmshQZGSRnChco,0,5,1,5,5,4,5,6,4,6,2,2
R_1r97AUTKXpqpW4c,0,3,2,5,5,4,6,4,5,4,2,2
R_1kFWqkH4tSWpKL2,0,4,5,3,3,3,3,3,3,3,2,2
R_1exkSpCQKR0cevh,0,4,1,5,5,5,4,5,5,5,2,2
R_R8Zmi1Aer2mxB7P,0,4,2,4,5,5,4,4,4,4,2,2
R_1C2w56ecuS6cerQ,0,4,5,3,3,6,2,4,5,4,2,1
R_oZTZJpcx6FcymPf,0,3,1,4,5,5,7,6,4,5,2,1
R_3LZwogZti8x4M6U,0,4,1,6,6,5,5,5,6,5,2,2
R_bBdhbK5mmugyOJ7,0,4,1,6,6,6,5,6,5,6,2,2
R_12MfMF8SET1jMv6,0,4,4,4,4,3,3,4,5,4,2,1
R_1IXyICfj4pk4Nw5,0,5,1,6,7,6,6,7,6,4,1,2
R_31gsAKxnkDf8YPJ,0,4,2,6,6,5,5,5,5,4,2,1
R_AM9GUGFQWMBD9Dz,0,8,7,3,4,6,6,6,6,6,2,2
R_1o0z1HYTPnAA17C,0,5,2,5,5,4,4,5,4,5,2,1
R_2znZOWmqwU6V8GS,0,4,4,3,3,3,5,3,3,2,2,1
R_11h0bd2jdSVyVp2,0,4,3,5,6,5,1,6,4,6,2,1
R_1FPLXmqDakiNoBM,0,6,3,4,4,4,4,4,5,5,1,1
R_2xAhizrVC4yMRGH,0,1,1,5,5,4,5,5,5,5,2,2
R_3FVYHXiXkqEBYK2,0,6,4,2,3,4,3,3,4,3,1,1
R_2z72uPLYShFPw7R,0,4,2,5,5,4,4,6,2,5,2,1
R_21cbxo8gtDhxiVn,0,6,1,2,4,4,3,4,5,3,2,2
R_3j7fGyUk1u4QKu6,0,4,3,4,4,5,5,5,5,4,2,1
R_8CcaX2EARidL57P,0,5,5,3,4,5,3,4,3,3,1,1
R_Y496olaWIDtseVX,0,3,1,6,6,6,6,6,6,6,2,2
R_0pjvVFfWuWDgAvf,0,4,3,3,4,4,2,3,3,3,2,1
R_Z8H3oqAvpmM7I7D,0,3,5,6,3,4,3,3,5,2,2,2
R_3IQTNys8aopJByC,0,5,2,2,3,3,1,2,2,2,2,1
R_1Kxyc6gAG6QvR97,0,4,5,3,3,4,5,5,5,2,2,1
R_Xhdgqf7pbh6CZgJ,0,3,4,2,3,2,4,3,3,3,2,1
R_1GBLzPDJAMGt87w,0,4,5,3,3,4,5,3,5,3,2,2
R_RxJqTxe0lGHvphn,0,4,1,5,6,4,6,4,4,6,1,1
R_3pm1CukACdYZL20,0,3,1,6,6,5,5,6,6,6,2,1
R_3fHmLd1s22sJzVn,0,4,1,5,6,4,6,5,5,5,2,2
R_A0xxNHA98qSRNn3,0,3,5,2,2,4,4,2,4,3,2,1
R_1kTEXT0AwaqlbHe,0,5,3,6,5,4,5,5,5,4,2,1
R_269plflZblIO4aN,0,4,3,4,5,5,4,5,5,6,2,1
R_24fawoGae0w29B3,0,4,2,2,2,2,3,2,2,2,2,1
R_1OT9JgyD1u9PTEq,0,5,5,5,4,5,4,4,3,5,2,1
R_10uW6U9NDtcSwA8,0,3,2,5,6,6,6,5,6,5,2,1
R_vJqboSMJy3I3bwt,0,5,1,3,3,1,3,4,4,2,2,2
R_ei0l63OdZjOgcSd,0,4,3,2,2,3,1,2,2,2,2,1
R_3qVhMMvZvQXb3Vv,0,6,3,3,4,4,3,3,4,3,2,1
R_1d480dZO2yV9X1K,0,1,2,4,4,4,4,4,4,4,2,1
R_e96rKkMj0IbQQap,0,4,1,4,5,4,1,4,4,2,1,1
R_bJeZIraV5ZSJLHj,0,4,2,4,4,3,3,4,3,3,1,2
R_2Tq67r8zlubHSbe,0,3,1,1,1,2,3,1,4,1,2,2
R_3NV7C42hxCYwbms,0,5,2,4,5,5,5,4,5,4,2,2
R_3fGWpijUKEkAP5J,0,4,2,4,3,4,4,3,4,4,2,2
R_1Hk0PhSnX7meKkN,0,4,3,4,4,5,4,4,5,4,2,1
R_TdTKJsGrQex5B8B,0,4,2,3,2,4,3,3,3,3,2,1
R_2647j4rvzmsT6CB,0,4,5,3,2,6,3,4,5,2,2,1
R_2WUuHRdx9EDsZS4,0,3,3,2,3,2,4,4,2,3,2,2
R_08tAPvPRKjo7N2F,0,3,1,7,7,6,7,6,6,5,2,2
R_3s1v1qlrg9zZ3zT,0,1,2,2,2,4,4,4,4,4,2,1
R_1jPPavuT9LyK1yN,0,4,2,5,6,4,5,5,4,4,2,1
R_2tLRrBAgNcTACQZ,0,5,1,5,5,6,4,6,7,4,2,2
R_1HnHlKh3bRVDyTe,0,4,4,3,3,4,2,4,3,3,2,1
R_UXxLRVf6WNmqnx7,0,4,4,3,2,4,5,2,4,2,2,2
R_1r06y17Xwrbfzkb,0,5,5,4,5,4,3,5,4,4,2,1
R_5uVG7XCnw8DhJG9,0,4,1,5,4,6,5,5,5,3,2,2
R_3qwVFVX4iAFnjiC,0,6,3,3,3,5,2,3,5,3,2,1
R_3NK7MfZ2uzMvmh0,0,5,2,5,6,6,5,5,6,4,2,1
R_2SIRRwZ7JsbVi6t,0,4,4,3,3,4,4,2,5,1,2,1
R_33p90drsNqekgzn,0,3,4,4,4,6,4,4,6,3,2,2
R_3Lc12z2ml5b8U7c,0,3,3,3,4,4,4,3,4,4,2,1
R_RFdufPhUu64Bo8F,0,4,5,3,3,4,4,3,4,2,2,1
R_1MREtsEzzuFf3YB,0,4,4,4,5,2,3,4,2,5,1,1
R_1GTY1gePkhjeL9N,0,1,1,5,5,6,4,5,6,5,2,2
R_1LYSOSpAhGLNPpq,0,1,1,6,6,7,5,6,6,6,2,1
R_3fwJyvFoMrB2vRv,0,5,3,4,4,3,3,4,4,3,1,1
R_1LAvbjuy6vvhgmz,0,1,3,5,4,5,4,5,4,5,2,1
R_3z32IDnsLGAUtox,0,3,2,6,7,6,6,7,5,6,1,2
R_2X0adaE1g4Diblg,0,4,1,5,5,5,4,4,5,6,2,1
R_1hyaabhxB7EN7S9,0,6,5,2,4,3,3,2,4,3,2,2
R_27IKb1aKSiTjLiI,0,5,4,3,3,4,2,3,4,3,2,2
R_pas1DZGLwo8F4Hv,0,6,4,3,4,6,4,4,6,3,2,2
R_3HRIWD0UclvzqbG,0,3,3,5,6,5,5,5,5,5,1,1
R_yPkBIOpaW2XZoJ3,0,5,1,6,6,4,5,5,2,5,2,2
R_2tJarCTVzThDMi8,0,6,5,3,3,4,3,3,4,2,2,2
R_2aIFVxofG0MTLeB,0,4,3,5,5,4,5,5,4,5,2,2
R_217gSLvHwWLSTYB,0,4,1,4,5,5,4,5,4,3,2,2
R_50aHTH8oqMkpm8h,0,3,2,6,6,4,6,3,4,6,2,2
R_3ND1ofRleVmIrWk,0,5,4,2,3,6,5,3,4,3,1,2
R_3D1LixBaiPI9LeE,0,5,4,2,2,4,4,3,4,1,2,2
R_28MM46WfThxqBIa,0,5,1,7,7,7,7,7,7,6,2,2
R_2Ppoe6sflNpGDJr,0,3,5,3,3,4,3,3,3,2,2,1
R_3O0RpB58e9UnTel,0,3,2,3,2,1,3,4,3,5,2,1
R_6o50BWeNEyv0SGt,0,3,1,4,4,5,5,6,4,5,2,1
R_2ZKNPHgubEg7kHh,0,7,2,4,6,4,6,4,4,5,2,1
R_3h5shX32KYMgU0B,0,5,3,1,4,4,1,1,1,1,2,2
R_3JIpU2xmRkFDCYQ,0,5,2,4,5,5,5,5,5,4,2,2
R_1jxg7jsrvigffbU,1,3,4,4,4,4,4,4,4,4,2,1
R_1oI9CpiyqVr0Far,1,3,2,6,4,4,5,5,4,5,2,1
R_1SpOIf6AFOwFNjX,1,3,1,4,3,3,4,4,3,2,2,1
R_3HFCGMmD3D5yaIt,1,4,3,6,6,5,7,5,6,6,2,1
R_10DxOWplr3CL7O9,1,3,1,4,4,4,4,4,4,4,2,2
R_3OjEx9aCuuzKQiz,1,3,1,5,6,6,6,6,6,5,2,2
R_2scLs8FnLPv5fdw,1,1,1,7,7,7,7,7,7,7,2,1
R_Z9RxRU1735FQtON,1,1,1,6,7,6,7,6,7,5,2,2
R_27xSRw4OOIBB6Rs,1,3,3,5,5,4,4,5,5,4,2,1
R_1pJS6nxVtoGgTg2,1,4,3,3,3,3,3,3,3,3,2,1
R_1f2Zp6B7CvQfkzl,1,5,1,3,3,3,3,3,3,3,2,2
