"","ResponseID","Gender","Age","Image","Condition","Fit","Belonging","Norm_1","Norm_2","Norm_3","Norm_4","Norm_5","Norm_6","Norm_7","Norm_8","Ratio","Average_Face"
"1","R_3F2GRiVAEdICbDk",2,50,"0men1",0,7,6,6,6,5,6,7,6,2,6,4,5
"2","R_3F2GRiVAEdICbDk",2,50,"0men2",0,5,4,6,3,4,6,6,6,2,6,6,7
"3","R_3F2GRiVAEdICbDk",2,50,"0men3",0,8,6,7,3,4,7,7,7,1,7,5,3
"4","R_3F2GRiVAEdICbDk",2,50,"0men4",0,9,9,6,3,4,7,6,6,1,7,1,3
"5","R_3F2GRiVAEdICbDk",2,50,"20men1",2,8,7,3,3,4,4,3,4,4,4,4,7
"6","R_3F2GRiVAEdICbDk",2,50,"20men2",2,7,7,5,3,3,6,7,7,1,7,7,10
"7","R_3F2GRiVAEdICbDk",2,50,"20men3",2,3,2,3,4,5,4,4,5,5,5,7,5
"8","R_3F2GRiVAEdICbDk",2,50,"20men4",2,9,9,7,5,6,7,7,7,1,7,4,6
"9","R_3F2GRiVAEdICbDk",2,50,"50men1",4,7,7,5,3,4,4,6,6,2,5,5,3
"10","R_3F2GRiVAEdICbDk",2,50,"50men2",4,3,2,3,4,5,4,4,4,3,4,4,4
"11","R_3F2GRiVAEdICbDk",2,50,"50men3",4,4,4,6,3,3,6,6,6,3,5,8,7
"12","R_3F2GRiVAEdICbDk",2,50,"50men4",4,6,6,6,3,4,5,5,5,1,5,6,9
"13","R_3F2GRiVAEdICbDk",2,50,"80men1",6,4,2,5,4,3,5,6,6,3,5,9,9
"14","R_3F2GRiVAEdICbDk",2,50,"80men2",6,1,1,5,2,2,5,5,5,3,4,9,3
"15","R_3F2GRiVAEdICbDk",2,50,"80men3",6,1,1,5,3,3,5,5,5,2,5,10,7
"16","R_3F2GRiVAEdICbDk",2,50,"80men4",6,6,6,5,3,4,5,5,6,3,5,9,5
"17","R_3F2GRiVAEdICbDk",2,50,"100men1",8,2,1,2,5,5,1,3,4,5,4,11,10
"18","R_3F2GRiVAEdICbDk",2,50,"100men2",8,1,1,2,5,5,1,3,4,5,3,11,11
"19","R_3F2GRiVAEdICbDk",2,50,"100men3",8,1,1,3,5,5,2,2,5,5,5,11,10
"20","R_3F2GRiVAEdICbDk",2,50,"100men4",8,1,1,1,6,6,1,3,3,5,3,11,9
"41","R_3plEtm8voe25VXv",1,29,"0men1",0,4,2,3,5,4,5,3,5,3,4,1,13
"42","R_3plEtm8voe25VXv",1,29,"0men2",0,5,8,5,3,4,5,3,3,5,4,6,10
"43","R_3plEtm8voe25VXv",1,29,"0men3",0,6,5,3,6,3,2,5,3,5,6,6,6
"44","R_3plEtm8voe25VXv",1,29,"0men4",0,3,4,7,4,5,4,4,5,3,4,6,13
"45","R_3plEtm8voe25VXv",1,29,"20men1",2,5,5,4,5,6,6,5,3,5,5,8,15
"46","R_3plEtm8voe25VXv",1,29,"20men2",2,5,6,5,3,5,4,4,5,3,4,5,12
"47","R_3plEtm8voe25VXv",1,29,"20men3",2,6,5,3,4,2,3,5,4,4,3,7,11
"48","R_3plEtm8voe25VXv",1,29,"20men4",2,5,6,3,5,3,4,5,4,5,3,4,9
"49","R_3plEtm8voe25VXv",1,29,"50men1",4,5,7,3,4,2,3,5,3,4,3,4,8
"50","R_3plEtm8voe25VXv",1,29,"50men2",4,6,5,5,4,3,5,4,5,3,4,7,13
"51","R_3plEtm8voe25VXv",1,29,"50men3",4,6,5,4,5,4,6,4,4,6,4,8,8
"52","R_3plEtm8voe25VXv",1,29,"50men4",4,7,5,2,5,4,3,4,4,2,5,4,8
"53","R_3plEtm8voe25VXv",1,29,"80men1",6,7,6,3,5,3,5,2,2,6,4,9,7
"54","R_3plEtm8voe25VXv",1,29,"80men2",6,7,4,6,4,5,3,3,3,5,5,9,14
"55","R_3plEtm8voe25VXv",1,29,"80men3",6,5,3,3,5,3,2,5,3,6,3,5,5
"56","R_3plEtm8voe25VXv",1,29,"80men4",6,5,4,4,5,3,4,3,4,3,5,4,8
"57","R_3plEtm8voe25VXv",1,29,"100men1",8,7,6,2,4,3,4,5,4,5,3,9,8
"58","R_3plEtm8voe25VXv",1,29,"100men2",8,6,4,7,3,4,3,6,5,4,5,10,7
"59","R_3plEtm8voe25VXv",1,29,"100men3",8,4,6,4,5,6,4,4,4,3,5,5,13
"60","R_3plEtm8voe25VXv",1,29,"100men4",8,6,4,5,5,6,5,4,5,5,6,5,8
"81","R_QacvSzU3FNn4ErD",1,64,"0men1",0,5,5,2,2,2,6,5,5,2,6,9,8
"82","R_QacvSzU3FNn4ErD",1,64,"0men2",0,3,3,3,3,3,5,5,5,2,6,5,4
"83","R_QacvSzU3FNn4ErD",1,64,"0men3",0,2,2,3,4,2,7,5,5,1,6,1,5
"84","R_QacvSzU3FNn4ErD",1,64,"0men4",0,6,6,2,2,3,6,5,5,3,7,4,11
"85","R_QacvSzU3FNn4ErD",1,64,"20men1",2,2,2,1,2,2,6,6,6,2,6,6,11
"86","R_QacvSzU3FNn4ErD",1,64,"20men2",2,7,7,1,3,2,7,6,6,4,7,5,9
"87","R_QacvSzU3FNn4ErD",1,64,"20men3",2,6,6,2,3,4,6,5,5,3,6,6,9
"88","R_QacvSzU3FNn4ErD",1,64,"20men4",2,6,6,3,2,2,6,5,5,2,5,5,10
"89","R_QacvSzU3FNn4ErD",1,64,"50men1",4,3,3,2,2,5,5,5,5,3,6,6,7
"90","R_QacvSzU3FNn4ErD",1,64,"50men2",4,5,5,3,3,3,5,5,5,3,6,4,9
