"","Participant","Gender","Fit","Condition","Belonging","WomenContributeNorm","NotMakeFunNorm","ExcludeNorm","FriendlyNorm","GoodatMathNorm","TreatDifferentlyNorm","DefertoMenNorm","AskHelpNorm","Ratio","AverageFace"
"1","1","2","4","9","5","","","","","","","","",NA,NA
"2","1","2","6","12","5","","","","","","","","",NA,NA
"3","1","2","5","0","6","","","","","","","","",NA,NA
"4","1","2","6","3","7","","","","","","","","",NA,NA
"5","1","2","4","3","4","","","","","","","","",NA,NA
"6","1","2","7","0","6","","","","","","","","",NA,NA
"7","1","2","5","12","6","","","","","","","","",NA,NA
"8","1","2","4","9","3","","","","","","","","",NA,NA
"9","1","2","5","3","4","","","","","","","","",NA,NA
"10","1","2","4","12","3","","","","","","","","",NA,NA
"11","1","2","5","12","4","","","","","","","","",NA,NA
"12","1","2","3","3","3","","","","","","","","",NA,NA
"13","1","2","5","12","5","","","","","","","","",NA,NA
"14","1","2","8","6","8","","","","","","","","",NA,NA
"15","1","2","6","3","5","","","","","","","","",NA,NA
"17","1","2","6","6","5","","","","","","","","",NA,NA
"18","1","2","5","6","4","","","","","","","","",NA,NA
"19","1","2","5","9","7","","","","","","","","",NA,NA
"20","1","2","3","3","3","","","","","","","","",NA,NA
"21","1","2","4","0","4","","","","","","","","",NA,NA
"22","1","2","4","9","4","","","","","","","","",NA,NA
"23","1","2","6","0","6","","","","","","","","",NA,NA
"24","1","2","4","6","5","","","","","","","","",NA,NA
"25","1","2","5","9","4","","","","","","","","",NA,NA
"27","1","2","4","9","6","","","","","","","","",NA,NA
"29","1","2","5","0","4","","","","","","","","",NA,NA
"31","1","2","7","6","7","","","","","","","","",NA,NA
"34","1","2","6","12","7","","","","","","","","",NA,NA
"36","1","2","7","12","7","","","","","","","","",NA,NA
"38","1","2","5","9","5","","","","","","","","",NA,NA
"39","1","2","4","0","3","","","","","","","","",NA,NA
"41","1","2","5","9","6","","","","","","","","",NA,NA
"42","1","2","6","12","6","","","","","","","","",NA,NA
"43","1","2","7","0","7","","","","","","","","",NA,NA
"45","1","2","4","6","2","","","","","","","","",NA,NA
"46","1","2","5","6","6","","","","","","","","",NA,NA
"48","1","2","4","12","5","","","","","","","","",NA,NA
"50","1","2","6","0","5","","","","","","","","",NA,NA
"51","1","2","","12","","1","4","1","4","2","1","2","5",NA,NA
"52","1","2","","3","","6","5","3","6","6","1","2","6",NA,NA
"53","1","2","","12","","1","5","6","6","1","1","1","5",NA,NA
"54","1","2","","9","","2","6","1","6","3","3","2","6",NA,NA
"55","1","2","","9","","1","5","1","5","1","1","1","5",NA,NA
"56","1","2","","0","","6","5","1","5","6","6","2","5",NA,NA
"57","1","2","","12","","1","6","2","5","1","1","1","6",NA,NA
"58","1","2","","0","","7","6","1","6","6","1","1","6",NA,NA
"59","1","2","","9","","2","6","1","6","5","1","1","5",NA,NA
"60","1","2","","0","","5","6","1","6","6","2","2","5",NA,NA
"61","1","2","","12","","1","1","1","5","1","1","1","5",NA,NA
"62","1","2","","12","","1","5","1","5","1","1","1","6",NA,NA
"63","1","2","","9","","3","6","1","5","3","3","3","6",NA,NA
"64","1","2","","12","","1","6","2","5","1","1","1","5",NA,NA
"65","1","2","","6","","3","6","1","3","4","3","2","5",NA,NA
"66","1","2","","6","","3","6","1","5","5","3","2","5",NA,NA
"67","1","2","","6","","2","5","1","6","4","1","2","5",NA,NA
"68","1","2","","3","","4","5","1","6","2","2","2","6",NA,NA
"69","1","2","","3","","7","6","1","5","1","1","1","6",NA,NA
"70","1","2","","3","","5","6","1","5","3","4","1","6",NA,NA
"71","1","2","","6","","3","3","1","5","3","3","3","5",NA,NA
"72","1","2","","0","","6","4","1","5","6","4","6","5",NA,NA
"73","1","2","","6","","3","7","1","5","6","2","1","4",NA,NA
"74","1","2","","6","","6","6","1","6","5","1","1","5",NA,NA
"75","1","2","","9","","5","6","1","6","5","2","2","7",NA,NA
"76","1","2","","12","","1","6","1","6","1","1","1","6",NA,NA
"77","1","2","","3","","6","1","1","6","6","1","2","6",NA,NA
"78","1","2","","6","","7","7","1","6","6","2","3","7",NA,NA
"79","1","2","","9","","3","1","1","5","6","3","2","6",NA,NA
"80","1","2","","9","","2","3","1","5","2","2","2","5",NA,NA
"81","1","2","","12","","1","5","1","3","2","2","2","5",NA,NA
"82","1","2","","9","","1","6","1","6","1","1","1","6",NA,NA
"83","1","2","","3","","6","7","1","6","7","2","2","6",NA,NA
"85","1","2","","6","","4","5","1","6","5","1","1","5",NA,NA
"86","1","2","","0","","7","6","1","7","1","1","1","6",NA,NA
"87","1","2","","6","","7","7","1","7","6","5","1","7",NA,NA
"88","1","2","","9","","2","1","5","5","4","1","5","5",NA,NA
"89","1","2","","3","","2","1","1","7","6","2","2","6",NA,NA
"90","1","2","","3","","3","1","1","4","4","1","2","5",NA,NA
"91","1","2","","0","","6","1","1","5","5","2","1","5",NA,NA
"92","1","2","","9","","1","5","2","5","1","1","1","5",NA,NA
"93","1","2","","12","","2","5","3","5","2","2","2","6",NA,NA
"94","1","2","","0","","3","1","1","5","3","2","2","5",NA,NA
"95","1","2","","6","","3","5","1","5","3","3","2","5",NA,NA
"96","1","2","","3","","3","5","1","5","2","3","2","5",NA,NA
"98","1","2","","0","","7","6","1","6","1","1","1","5",NA,NA
"99","1","2","","3","","3","5","2","5","6","2","3","6",NA,NA
"100","1","2","","0","","7","1","1","6","7","1","1","6",NA,NA
"101","1","2","","9","","","","","","","","","",11,NA
"102","1","2","","6","","","","","","","","","",10,NA
"103","1","2","","3","","","","","","","","","",8,NA
"105","1","2","","9","","","","","","","","","",5,NA
"106","1","2","","12","","","","","","","","","",12,NA
"107","1","2","","0","","","","","","","","","",5,NA
"108","1","2","","0","","","","","","","","","",6,NA
"109","1","2","","9","","","","","","","","","",10,NA
"111","1","2","","6","","","","","","","","","",8,NA
"113","1","2","","3","","","","","","","","","",5,NA
"114","1","2","","12","","","","","","","","","",8,NA
"116","1","2","","6","","","","","","","","","",7,NA
"118","1","2","","6","","","","","","","","","",9,NA
"121","1","2","","12","","","","","","","","","",11,NA
"122","1","2","","3","","","","","","","","","",4,NA
